line_use,use_of_sub,way_to_sub,use_of_sub,avg_time_min,experience,frequency_of_delays,approximate_delay_duration,alternative_transport,frequency_of_rerouting,top_three_complaints,most_common_reason_for_delay,opinion_price,opinion_on_increased_fares,borough,location,zip_code,collection_method,date,time,month,day_name,hour,is_weekend
7,"Weekdays, Mon - Fri",Walk,Work,20 - 40 min,Somewhat satisfied,A few times a week,5 - 10 min,Wait for next train,Only on weekends,"['Frequent route changes', 'High fares']",Signal malfunction,False,Positive,,,,online,2019-01-11,12:14:00,1,Friday,12,False
J,Once a week,Walk,Work,20 - 40 min,Highly unsatisfied,A few times a week,5 - 10 min,For-hire vehicle,All the time,"['Frequent route changes', 'Crime / Safety', 'Overcrowded trains']",Waiting for signal change,False,Negative,,,,online,2019-01-11,12:14:00,1,Friday,12,False
4,Everyday / Almost everyday,Bus,Work,20 - 40 min,Highly unsatisfied,Everyday,10 - 20 min,Wait for next train,All the time,"['Delays', 'Crime / Safety', 'Overcrowded trains']",Train traffic,False,Positive,,,,online,2019-01-11,12:16:00,1,Friday,12,False
N,"Weekdays, Mon - Fri",Drive personal vehicle,Work,60 - 90 min,Neutral,Rarely,20 - 45 min,Wait for next train,Only at night,"['Crime / Safety', 'Station infrastructure', 'Overcrowded trains']",Signal malfunction,True,Positive,,,,online,2019-01-11,12:16:00,1,Friday,12,False
3,"More than once a week, varies",Walk,Other,20 - 40 min,Somewhat satisfied,Almost never,5 - 10 min,Walk,Only on weekends,"['High fares', 'Station infrastructure', 'Lack of handicap access']",Train traffic,False,Other / No thoughts,,,10027,online,2019-01-11,12:16:00,1,Friday,12,False
F,Everyday / Almost everyday,Walk,Work,40 - 60 min,Not satisfied,A few times a week,10 - 20 min,Use another train,All the time,"['Delays', 'Station infrastructure', 'Overcrowded trains']",No reason is given,True,Positive,,,,online,2019-01-11,12:16:00,1,Friday,12,False
L,Everyday / Almost everyday,,Work,20 - 40 min,Neutral,A few times a week,5 - 10 min,Walk,Only on weekends,"['Delays', 'Frequent route changes', 'Overcrowded trains']",Train traffic,True,Positive,,,,online,2019-01-11,12:17:00,1,Friday,12,False
B,Everyday / Almost everyday,Walk,Work,20 - 40 min,Not satisfied,A few times a week,5 - 10 min,Use another train,Only on weekends,"['Delays', 'Frequent route changes', 'Customer service']",Train traffic,True,Positive,,,10026,online,2019-01-11,12:19:00,1,Friday,12,False
M,"Weekdays, Mon - Fri",,Work,60 - 90 min,Highly unsatisfied,Everyday,10 - 20 min,Wait for next train,All the time,"['Delays', 'High fares', 'Lack of handicap access']",No reason is given,False,Positive,,,11385,online,2019-01-11,12:20:00,1,Friday,12,False
A,Everyday / Almost everyday,Walk,Work,40 - 60 min,Not satisfied,A few times a week,10 - 20 min,Wait for next train,Only on weekends,"['Delays', 'Crime / Safety', 'Overcrowded trains']",No reason is given,True,Positive,,,,online,2019-01-11,12:20:00,1,Friday,12,False
1,"Weekdays, Mon - Fri",Walk,Work,20 - 40 min,Highly unsatisfied,A few times a week,5 - 10 min,Wait for next train,Almost never,"['Delays', 'Customer service', 'Overcrowded trains']",Train traffic,True,Positive,,,10037,online,2019-01-11,12:21:00,1,Friday,12,False
F,"Weekdays, Mon - Fri",Walk,Work,40 - 60 min,Somewhat satisfied,A few times a week,10 - 20 min,Use another train,All the time,"['Delays', 'Frequent route changes', 'Overcrowded trains']",Signal malfunction,True,Positive,,,,online,2019-01-11,12:25:00,1,Friday,12,False
7,"More than once a week, varies",Walk,Work,20 - 40 min,Not satisfied,A few times a week,5 - 10 min,For-hire vehicle,All the time,"['Delays', 'Frequent route changes', 'Lack of handicap access']",No reason is given,True,Other / No thoughts,,,,online,2019-01-11,12:27:00,1,Friday,12,False
D,Everyday / Almost everyday,Walk,School,40 - 60 min,Not satisfied,A few times a week,5 - 10 min,Use another train,All the time,"['Delays', 'Customer service', 'Overcrowded trains']",Train traffic,False,Positive,,,11214,online,2019-01-11,12:27:00,1,Friday,12,False
C,Everyday / Almost everyday,Bus,Work,20 - 40 min,Not satisfied,A few times a week,10 - 20 min,Wait for next train,All the time,"['Delays', 'High fares', 'Overcrowded trains']",Waiting for signal change,False,Positive,,,10032,online,2019-01-11,12:28:00,1,Friday,12,False
M,"Weekdays, Mon - Fri",Walk,Work,20 - 40 min,Somewhat satisfied,Everyday,5 - 10 min,Wait for next train,Only at night,"['Delays', 'Frequent route changes', 'Overcrowded trains']",Train traffic,True,Unaware,,,11375,online,2019-01-11,12:28:00,1,Friday,12,False
1,~5 days per week,Walk,Work,40 - 60 min,Somewhat satisfied,Rarely,10 - 20 min,Use another train,Only on weekends,"['Frequent route changes', 'Customer service']",Signal malfunction,True,Positive,,,11221,online,2019-01-11,12:30:00,1,Friday,12,False
A,Everyday / Almost everyday,Walk,Work,40 - 60 min,Not satisfied,A few times a week,5 - 10 min,Wait for next train,Only on weekends,"['Delays', 'Crime / Safety', 'Overcrowded trains']",Police incident,True,Positive,,,10034,online,2019-01-11,12:33:00,1,Friday,12,False
B,Everyday / Almost everyday,Walk,Work,20 - 40 min,Highly unsatisfied,A few times a week,10 - 20 min,Wait for next train,Only on weekends,"['Delays', 'Frequent route changes', 'Customer service']",Train traffic,True,Positive,,,11226,online,2019-01-11,12:33:00,1,Friday,12,False
C,Everyday / Almost everyday,Walk,Work,20 - 40 min,Not satisfied,Everyday,10 - 20 min,Wait for next train,Only on weekends,"['Delays', 'High fares', 'Lack of handicap access']",Train traffic,True,Positive,,,11216,online,2019-01-11,12:39:00,1,Friday,12,False
1,Everyday / Almost everyday,Walk,Work,20 - 40 min,Not satisfied,Everyday,20 - 45 min,For-hire vehicle,All the time,"['Delays', 'Overcrowded trains', 'Lack of handicap access']",Train traffic,True,Positive,,,11375,online,2019-01-11,12:41:00,1,Friday,12,False
C,~5 days per week,Walk,Work,< 20 min,Not satisfied,Everyday,5 - 10 min,For-hire vehicle,All the time,"['Delays', 'Customer service', 'Station infrastructure']",No reason is given,True,Positive,,,10014,online,2019-01-11,12:41:00,1,Friday,12,False
1,Everyday / Almost everyday,Walk,Work,20 - 40 min,Somewhat satisfied,A few times a week,10 - 20 min,Use another train,Only on weekends,"['Delays', 'Frequent route changes', 'High fares']",Police incident,False,Positive,,,10025,online,2019-01-11,12:42:00,1,Friday,12,False
1,"Weekdays, Mon - Fri",Walk,Work,40 - 60 min,Not satisfied,A few times a week,10 - 20 min,Wait for next train,Only on weekends,"['Customer service', 'Station infrastructure', 'Lack of handicap access']",No reason is given,True,Negative,,,10031,online,2019-01-11,12:44:00,1,Friday,12,False
C,Everyday / Almost everyday,Walk,Other,20 - 40 min,Not satisfied,A few times a week,20 - 45 min,Use another train,Only on weekends,"['Delays', 'Frequent route changes', 'Lack of handicap access']",No reason is given,True,Positive,,,10014,online,2019-01-11,12:45:00,1,Friday,12,False
1,"More than once a week, varies",Walk,Other,< 20 min,Somewhat satisfied,Rarely,,,All the time,"['Frequent route changes', 'Customer service', 'Station infrastructure']",No reason is given,True,Neutral,,,,online,2019-01-11,12:48:00,1,Friday,12,False
1,"Weekdays, Mon - Fri",Bus,Work,20 - 40 min,Highly unsatisfied,A few times a week,20 - 45 min,Wait for next train,All the time,"['Delays', 'High fares', 'Crime / Safety']",Train traffic,False,Positive,,,,online,2019-01-11,12:48:00,1,Friday,12,False
F,"Weekdays, Mon - Fri",Bus,Work,40 - 60 min,Not satisfied,A few times a week,10 - 20 min,Wait for next train,Only at night,"['Delays', 'Crime / Safety', 'Station infrastructure']",Train traffic,True,Positive,,,,online,2019-01-11,12:49:00,1,Friday,12,False
Staten Island Railway,"Weekdays, Mon - Fri",Drive personal vehicle,Work,20 - 40 min,Somewhat satisfied,Rarely,20 - 45 min,Wait for next train,Only on weekends,"['Crime / Safety', 'Customer service', 'Old trains']",No reason is given,False,Positive,,,10308,online,2019-01-11,12:52:00,1,Friday,12,False
A,Everyday / Almost everyday,LIRR,Work,< 20 min,Not satisfied,A few times a week,5 - 10 min,Use another train,Almost never,"['Delays', 'High fares', 'Overcrowded trains']",Waiting for signal change,False,Positive,,,,online,2019-01-11,12:53:00,1,Friday,12,False
N,"Weekdays, Mon - Fri",Walk,Work,20 - 40 min,Not satisfied,A few times a week,5 - 10 min,Wait for next train,Only on weekends,"['High fares', 'Customer service', 'Overcrowded trains']",Signal malfunction,False,Positive,,,11106,online,2019-01-11,12:53:00,1,Friday,12,False
R,~5 days per week,Walk,Work,20 - 40 min,Not satisfied,A few times a week,45 - 60 min,Wait for next train,All the time,"['Delays', 'Customer service', 'Overcrowded trains']",Sick passenger,False,Positive,,,,online,2019-01-11,12:54:00,1,Friday,12,False
F,Everyday / Almost everyday,Walk,Work,20 - 40 min,Highly unsatisfied,Everyday,10 - 20 min,Wait for next train,All the time,"['Delays', 'Customer service', 'Station infrastructure']",Train traffic,False,Negative,,,,online,2019-01-11,12:55:00,1,Friday,12,False
2,~5 days per week,Walk,Work,40 - 60 min,Not satisfied,Everyday,5 - 10 min,Use another train,All the time,"['Delays', 'Customer service', 'Overcrowded trains']",Train traffic,True,Positive,,,11201,online,2019-01-11,12:56:00,1,Friday,12,False
1,"More than once a week, varies",Walk,Other,< 20 min,Neutral,A few times a week,5 - 10 min,Bike,Almost never,"['Delays', 'High fares', 'Customer service']",Train traffic,False,Positive,,,,online,2019-01-11,12:59:00,1,Friday,12,False
E,"Weekdays, Mon - Fri",Walk,Work,20 - 40 min,Somewhat satisfied,Rarely,5 - 10 min,For-hire vehicle,Only on weekends,"['Station infrastructure', 'Overcrowded trains', 'Lack of handicap access']",Signal malfunction,True,Unaware,,,10014,online,2019-01-11,12:59:00,1,Friday,12,False
1,Everyday / Almost everyday,Walk,Other,20 - 40 min,Somewhat satisfied,A few times a week,5 - 10 min,Wait for next train,Only on weekends,"['Crime / Safety', 'Overcrowded trains', 'Lack of handicap access']",Train traffic,False,Negative,,,10031,online,2019-01-11,13:00:00,1,Friday,13,False
Q,~5 days per week,Walk,Work,< 20 min,Not satisfied,A few times a week,5 - 10 min,Use another train,Only on weekends,"['Delays', 'Frequent route changes', 'Lack of handicap access']",Train traffic,True,Neutral,,,,online,2019-01-11,13:04:00,1,Friday,13,False
7,Everyday / Almost everyday,Walk,Work,20 - 40 min,Not satisfied,A few times a week,10 - 20 min,,Only on weekends,"['Delays', 'Old trains', 'Overcrowded trains']",Train traffic,True,Neutral,,,11104,online,2019-01-11,13:06:00,1,Friday,13,False
7,Everyday / Almost everyday,Walk,Work,40 - 60 min,Somewhat satisfied,A few times a week,5 - 10 min,Use another train,Only on weekends,"['Delays', 'Frequent route changes', 'Customer service']",Train traffic,False,Positive,,,,online,2019-01-11,13:08:00,1,Friday,13,False
A,"More than once a week, varies",Walk,Other,20 - 40 min,Somewhat satisfied,Rarely,10 - 20 min,Wait for next train,Only on weekends,"['Delays', 'Frequent route changes', 'Overcrowded trains']",Train traffic,True,Unaware,,,10036,online,2019-01-11,13:09:00,1,Friday,13,False
1,"More than once a week, varies",Walk,Work,40 - 60 min,Highly unsatisfied,Everyday,10 - 20 min,Wait for next train,,,Train traffic,False,Negative,,,,online,2019-01-11,13:13:00,1,Friday,13,False
B,Everyday / Almost everyday,Walk,Work,40 - 60 min,Highly unsatisfied,A few times a week,20 - 45 min,Use another train,All the time,"['Delays', 'Frequent route changes', 'Overcrowded trains']",Signal malfunction,False,Positive,,,11238,online,2019-01-11,13:15:00,1,Friday,13,False
A,Everyday / Almost everyday,Walk,Work,40 - 60 min,Somewhat satisfied,Rarely,10 - 20 min,Wait for next train,Only on weekends,"['Frequent route changes', 'Customer service', 'Station infrastructure']",Police incident,False,Positive,,,10036,online,2019-01-11,13:19:00,1,Friday,13,False
D,Everyday / Almost everyday,Walk,Work,40 - 60 min,Not satisfied,Everyday,10 - 20 min,,,"['Delays', 'Customer service', 'Lack of handicap access']",Train traffic,True,Neutral,,,,online,2019-01-11,13:19:00,1,Friday,13,False
E,~5 days per week,Walk,Other,< 20 min,Very satisfied,Rarely,10 - 20 min,For-hire vehicle,Only on weekends,"['Delays', 'Frequent route changes', 'Station infrastructure']",Train traffic,True,Neutral,,,,online,2019-01-11,13:23:00,1,Friday,13,False
W,~5 days per week,,Work,40 - 60 min,Neutral,A few times a week,5 - 10 min,Wait for next train,Only on weekends,"['Delays', 'Frequent route changes', 'Lack of handicap access']",Train traffic,True,Other / No thoughts,,,11103,online,2019-01-11,13:24:00,1,Friday,13,False
N,Everyday / Almost everyday,Walk,Work,40 - 60 min,Highly unsatisfied,Everyday,10 - 20 min,For-hire vehicle,All the time,"['Delays', 'Frequent route changes', 'High fares']",Train traffic,False,Positive,,,,online,2019-01-11,13:27:00,1,Friday,13,False
L,~5 days per week,Walk,Work,20 - 40 min,Somewhat satisfied,A few times a week,5 - 10 min,Wait for next train,Almost never,"['Delays', 'Frequent route changes', 'Station infrastructure']",Train traffic,True,Other / No thoughts,,,11222,online,2019-01-11,13:30:00,1,Friday,13,False
1,~5 days per week,Walk,Work,40 - 60 min,Neutral,A few times a week,5 - 10 min,Wait for next train,Only on weekends,"['Delays', 'High fares', 'Station infrastructure']",Signal malfunction,False,Positive,,,,online,2019-01-11,13:31:00,1,Friday,13,False
A,"More than once a week, varies",Walk,Other,40 - 60 min,Neutral,A few times a week,10 - 20 min,Wait for next train,Only on weekends,"['Delays', 'Frequent route changes', 'High fares']",Waiting for signal change,False,Negative,,,11208,online,2019-01-11,13:33:00,1,Friday,13,False
6,"More than once a week, varies",Walk,Other,< 20 min,Somewhat satisfied,Rarely,,Walk,Almost never,"['Station infrastructure', 'Overcrowded trains', 'Lack of handicap access']",Signal malfunction,True,Other / No thoughts,,,10011,online,2019-01-11,13:34:00,1,Friday,13,False
1,Everyday / Almost everyday,Walk,Work,20 - 40 min,Not satisfied,A few times a week,5 - 10 min,For-hire vehicle,Only at night,"['Delays', 'Overcrowded trains', 'Lack of handicap access']",Train traffic,True,Positive,,,10033,online,2019-01-11,13:35:00,1,Friday,13,False
1,"Weekdays, Mon - Fri",Walk,Work,60 - 90 min,Highly unsatisfied,A few times a week,20 - 45 min,Wait for next train,All the time,"['Delays', 'High fares', 'Crime / Safety']",Signal malfunction,False,Negative,,,,online,2019-01-11,13:38:00,1,Friday,13,False
A,Everyday / Almost everyday,Walk,Work,20 - 40 min,Neutral,A few times a week,5 - 10 min,Wait for next train,All the time,"['Delays', 'Station infrastructure', 'Overcrowded trains']",Signal malfunction,False,Positive,,,11233,online,2019-01-11,13:40:00,1,Friday,13,False
A,Once a month,Bus,Other,40 - 60 min,Not satisfied,Everyday,10 - 20 min,Wait for next train,Only on weekends,"['Delays', 'Overcrowded trains', 'Lack of handicap access']",Train traffic,False,Positive,,,11420,online,2019-01-11,13:42:00,1,Friday,13,False
2,Everyday / Almost everyday,Walk,Work,< 20 min,Somewhat satisfied,Rarely,10 - 20 min,For-hire vehicle,Only on weekends,"['Frequent route changes', 'High fares', 'Customer service']",Train traffic,False,Unaware,,,10007,online,2019-01-11,13:42:00,1,Friday,13,False
5,Everyday / Almost everyday,Bus,Work,20 - 40 min,Not satisfied,Rarely,,Wait for next train,Only at night,"['High fares', 'Crime / Safety', 'Overcrowded trains']",Waiting for signal change,False,Negative,,,10301,online,2019-01-11,13:43:00,1,Friday,13,False
E,"More than once a week, varies",Walk,Other,40 - 60 min,Not satisfied,Everyday,10 - 20 min,Wait for next train,All the time,"['Delays', 'Frequent route changes', 'Lack of handicap access']",Train traffic,False,Positive,,,11415,online,2019-01-11,13:45:00,1,Friday,13,False
1,"Weekdays, Mon - Fri",Walk,Work,20 - 40 min,Not satisfied,A few times a week,5 - 10 min,Wait for next train,Almost never,"['Delays', 'High fares', 'Overcrowded trains']",Train traffic,False,Positive,,,10007,online,2019-01-11,13:45:00,1,Friday,13,False
1,Everyday / Almost everyday,Walk,Work,20 - 40 min,Not satisfied,Everyday,10 - 20 min,Use another train,All the time,"['Delays', 'High fares', 'Lack of handicap access']",Train traffic,True,Positive,,,10004,online,2019-01-11,13:45:00,1,Friday,13,False
F,~5 days per week,Walk,Work,40 - 60 min,Somewhat satisfied,Rarely,,,Almost never,"['Delays', 'Station infrastructure', 'Overcrowded trains']",Waiting for signal change,True,,,,,online,2019-01-11,13:45:00,1,Friday,13,False
1,Everyday / Almost everyday,Walk,Other,< 20 min,Not satisfied,A few times a week,5 - 10 min,Use another train,All the time,"['Delays', 'Customer service', 'Station infrastructure']",Train traffic,True,Positive,,,,online,2019-01-11,13:45:00,1,Friday,13,False
1,Everyday / Almost everyday,Walk,Work,< 20 min,Somewhat satisfied,Rarely,,Use another train,Only on weekends,"['Crime / Safety', 'Overcrowded trains', 'Lack of handicap access']",Sick passenger,True,Neutral,,,,online,2019-01-11,13:46:00,1,Friday,13,False
1,Once a month,Walk,Other,< 20 min,Somewhat satisfied,Rarely,5 - 10 min,Bike,Only on weekends,"['Customer service', 'Station infrastructure', 'Overcrowded trains']",Train traffic,True,Unaware,,,10019,online,2019-01-11,13:47:00,1,Friday,13,False
F,Once a month,Walk,Other,40 - 60 min,Neutral,,5 - 10 min,Walk,,"['Station infrastructure', 'Old trains', 'Overcrowded trains']",No reason is given,True,Neutral,,,,online,2019-01-11,13:48:00,1,Friday,13,False
R,Everyday / Almost everyday,Walk,Work,20 - 40 min,Not satisfied,A few times a week,10 - 20 min,Wait for next train,Only at night,"['Delays', 'Crime / Safety', 'Customer service']",Signal malfunction,True,Positive,,,11209,online,2019-01-11,13:50:00,1,Friday,13,False
4,"Weekdays, Mon - Fri",Walk,Work,20 - 40 min,Not satisfied,Everyday,5 - 10 min,Wait for next train,Only on weekends,"['Delays', 'Station infrastructure', 'Overcrowded trains']",Train traffic,False,Positive,,,,online,2019-01-11,13:50:00,1,Friday,13,False
2,Everyday / Almost everyday,Walk,Work,< 20 min,Not satisfied,A few times a week,5 - 10 min,Use another train,All the time,"['Frequent route changes', 'Station infrastructure', 'Overcrowded trains']",Sick passenger,False,Positive,,,,online,2019-01-11,13:50:00,1,Friday,13,False
R,Everyday / Almost everyday,Walk,School,40 - 60 min,Highly unsatisfied,Everyday,10 - 20 min,Use another train,All the time,"['Delays', 'Overcrowded trains', 'Lack of handicap access']",Train traffic,False,Positive,,,,online,2019-01-11,13:51:00,1,Friday,13,False
1,"More than once a week, varies",Walk,Other,20 - 40 min,Somewhat satisfied,A few times a week,10 - 20 min,Use another train,Only on weekends,"['High fares', 'Station infrastructure', 'Lack of handicap access']",Train traffic,False,Positive,,,10036,online,2019-01-11,13:51:00,1,Friday,13,False
1,"More than once a week, varies",Walk,Other,20 - 40 min,Somewhat satisfied,Rarely,5 - 10 min,Wait for next train,All the time,"['Frequent route changes', 'Crime / Safety', 'Customer service']",Train traffic,True,Positive,,,,online,2019-01-11,13:52:00,1,Friday,13,False
1,"More than once a week, varies",Walk,Other,20 - 40 min,Somewhat satisfied,Rarely,5 - 10 min,Wait for next train,Almost never,"['Customer service', 'Overcrowded trains', 'Lack of handicap access']",Train traffic,True,Neutral,,,,online,2019-01-11,13:53:00,1,Friday,13,False
4,"More than once a week, varies",Walk,Work,20 - 40 min,Highly unsatisfied,A few times a week,10 - 20 min,Walk,Almost never,"['Delays', 'Station infrastructure', 'Overcrowded trains']",Train traffic,False,Positive,,,,online,2019-01-11,13:54:00,1,Friday,13,False
C,Everyday / Almost everyday,Walk,Work,20 - 40 min,Somewhat satisfied,Rarely,10 - 20 min,Walk,Only on weekends,"['Delays', 'High fares', 'Lack of handicap access']",Train traffic,False,Positive,,,10036,online,2019-01-11,13:55:00,1,Friday,13,False
G,Everyday / Almost everyday,Walk,Work,20 - 40 min,Neutral,A few times a week,5 - 10 min,For-hire vehicle,All the time,"['Delays', 'Frequent route changes', 'Customer service']",Train traffic,True,Neutral,,,11222,online,2019-01-11,13:59:00,1,Friday,13,False
1,Once a week,,Other,40 - 60 min,Not satisfied,Rarely,10 - 20 min,For-hire vehicle,Only at night,"['Station infrastructure', 'Old trains', 'Overcrowded trains']",Waiting for signal change,True,Neutral,,,10463,online,2019-01-11,14:00:00,1,Friday,14,False
C,Everyday / Almost everyday,Walk,Work,< 20 min,Somewhat satisfied,Rarely,10 - 20 min,Walk,Only on weekends,"['Delays', 'Frequent route changes', 'Customer service']",Waiting for signal change,True,Other / No thoughts,,,,online,2019-01-11,14:01:00,1,Friday,14,False
R,"Weekdays, Mon - Fri",Walk,Work,40 - 60 min,Highly unsatisfied,A few times a week,45 - 60 min,Use another train,,"['Delays', 'High fares', 'Customer service']",Train traffic,False,Positive,,,,online,2019-01-11,14:04:00,1,Friday,14,False
1,Everyday / Almost everyday,Walk,Work,< 20 min,Somewhat satisfied,Rarely,5 - 10 min,Use another train,All the time,"['High fares', 'Customer service', 'Lack of handicap access']",Train traffic,False,Positive,,,10001,online,2019-01-11,14:05:00,1,Friday,14,False
F,~5 days per week,Bus,Work,< 20 min,Neutral,A few times a week,10 - 20 min,For-hire vehicle,Only on weekends,"['Delays', 'Station infrastructure', 'Lack of handicap access']",Signal malfunction,False,Positive,,,10002,online,2019-01-11,14:05:00,1,Friday,14,False
1,Once a month,Ferry,Other,40 - 60 min,Somewhat satisfied,Rarely,10 - 20 min,Wait for next train,Almost never,"['Delays', 'High fares', 'Crime / Safety']",Train traffic,True,Other / No thoughts,,,10310,online,2019-01-11,14:05:00,1,Friday,14,False
A,"More than once a week, varies",Walk,Other,< 20 min,Somewhat satisfied,Rarely,5 - 10 min,For-hire vehicle,Only on weekends,"['Frequent route changes', 'Customer service', 'Station infrastructure']",Sick passenger,True,Other / No thoughts,,,,online,2019-01-11,14:06:00,1,Friday,14,False
A,Everyday / Almost everyday,Walk,Work,40 - 60 min,Highly unsatisfied,A few times a week,10 - 20 min,Wait for next train,Only on weekends,"['Delays', 'Overcrowded trains', 'Lack of handicap access']",Train traffic,True,Neutral,,,10034,online,2019-01-11,14:07:00,1,Friday,14,False
E,"More than once a week, varies",Walk,Other,< 20 min,Highly unsatisfied,Everyday,10 - 20 min,Wait for next train,All the time,"['Frequent route changes', 'Customer service', 'Lack of handicap access']",Waiting for signal change,True,Positive,,,10011,online,2019-01-11,14:07:00,1,Friday,14,False
5,"More than once a week, varies",Metro North,Work,< 20 min,Not satisfied,Rarely,5 - 10 min,Use another train,Almost never,"['Delays', 'High fares', 'Overcrowded trains']",Signal malfunction,False,Positive,,,,online,2019-01-11,14:08:00,1,Friday,14,False
1,"More than once a week, varies",Walk,Other,20 - 40 min,Neutral,A few times a week,5 - 10 min,For-hire vehicle,Only at night,"['Delays', 'Station infrastructure', 'Lack of handicap access']",No reason is given,False,Positive,,,10011,online,2019-01-11,14:10:00,1,Friday,14,False
J,"More than once a week, varies",Walk,Other,< 20 min,Not satisfied,Everyday,10 - 20 min,Use another train,Only at night,"['Delays', 'Station infrastructure', 'Overcrowded trains']",Train traffic,True,Positive,,,10002,online,2019-01-11,14:12:00,1,Friday,14,False
2,Everyday / Almost everyday,Walk,Work,90 min - 2 hours,Highly unsatisfied,Everyday,20 - 45 min,Wait for next train,All the time,"['Delays', 'Overcrowded trains', 'Lack of handicap access']",Signal malfunction,True,Positive,,,10462,online,2019-01-11,14:15:00,1,Friday,14,False
1,Everyday / Almost everyday,Walk,Work,20 - 40 min,Neutral,A few times a week,10 - 20 min,Wait for next train,All the time,"['Crime / Safety', 'Customer service', 'Overcrowded trains']",Train traffic,True,Negative,,,10306,online,2019-01-11,14:20:00,1,Friday,14,False
1,Everyday / Almost everyday,Walk,Work,20 - 40 min,Not satisfied,A few times a week,5 - 10 min,Use another train,Only on weekends,"['Delays', 'Overcrowded trains', 'Lack of handicap access']",Train traffic,True,Positive,,,,online,2019-01-11,14:20:00,1,Friday,14,False
Q,Everyday / Almost everyday,Walk,Work,40 - 60 min,Not satisfied,A few times a week,10 - 20 min,Use another train,Only on weekends,"['Delays', 'Customer service', 'Overcrowded trains']",Train traffic,False,Positive,,,10065,online,2019-01-11,14:21:00,1,Friday,14,False
A,Everyday / Almost everyday,Walk,Work,20 - 40 min,Not satisfied,A few times a week,10 - 20 min,Wait for next train,All the time,"['Delays', 'Customer service', 'Station infrastructure']",Train traffic,True,Positive,,,10014,online,2019-01-11,14:21:00,1,Friday,14,False
1,"More than once a week, varies",Walk,Work,60 - 90 min,Somewhat satisfied,Rarely,10 - 20 min,Use another train,Only on weekends,"['Frequent route changes', 'High fares', 'Overcrowded trains']",Train traffic,False,Negative,,,10031,online,2019-01-11,14:22:00,1,Friday,14,False
3,Everyday / Almost everyday,Walk,Other,20 - 40 min,Not satisfied,A few times a week,5 - 10 min,Use another train,Only on weekends,"['Frequent route changes', 'Overcrowded trains', 'Lack of handicap access']",Train traffic,True,Positive,,,10025,online,2019-01-11,14:23:00,1,Friday,14,False
4,"More than once a week, varies",Walk,Other,40 - 60 min,Very satisfied,A few times a week,10 - 20 min,Wait for next train,All the time,"['Delays', 'High fares', 'Overcrowded trains']",Train traffic,False,Positive,,,10467,online,2019-01-11,14:24:00,1,Friday,14,False
Q,"Weekdays, Mon - Fri",Bus,Work,40 - 60 min,Somewhat satisfied,A few times a week,10 - 20 min,Wait for next train,Only at night,"['Delays', 'Customer service', 'Overcrowded trains']",Train traffic,True,Neutral,,,11229,online,2019-01-11,14:26:00,1,Friday,14,False
Q,Everyday / Almost everyday,Walk,Work,40 - 60 min,Not satisfied,A few times a week,10 - 20 min,,Only on weekends,"['Delays', 'Frequent route changes', 'Customer service']",No reason is given,True,Positive,,,10128,online,2019-01-11,14:27:00,1,Friday,14,False
R,"Weekdays, Mon - Fri",Walk,Work,20 - 40 min,Highly unsatisfied,A few times a week,10 - 20 min,Wait for next train,Only on weekends,"['Delays', 'Overcrowded trains', 'Lack of handicap access']",Train traffic,False,Unaware,,,11215,online,2019-01-11,14:30:00,1,Friday,14,False
1,Everyday / Almost everyday,Walk,Work,20 - 40 min,Highly unsatisfied,Everyday,10 - 20 min,Bike,Only at night,"['Delays', 'Frequent route changes', 'Overcrowded trains']",Signal malfunction,False,Positive,,,11238,online,2019-01-11,14:30:00,1,Friday,14,False
7,Everyday / Almost everyday,Walk,Work,< 20 min,Somewhat satisfied,A few times a week,5 - 10 min,Use another train,Only on weekends,"['Delays', 'Frequent route changes', 'Overcrowded trains']",Signal malfunction,True,Unaware,,,,online,2019-01-11,14:31:00,1,Friday,14,False
1,"More than once a week, varies",Walk,Other,20 - 40 min,Neutral,A few times a week,10 - 20 min,Wait for next train,Only at night,"['Delays', 'Frequent route changes', 'High fares']",Train traffic,False,Negative,,,10036,online,2019-01-11,14:31:00,1,Friday,14,False
1,"More than once a week, varies",Walk,Work,< 20 min,Somewhat satisfied,A few times a week,5 - 10 min,Wait for next train,Almost never,"['High fares', 'Station infrastructure', 'Overcrowded trains']",Signal malfunction,True,Positive,,,10014,online,2019-01-11,14:33:00,1,Friday,14,False
F,~5 days per week,,Other,20 - 40 min,Neutral,A few times a week,,Wait for next train,,"['Frequent route changes', 'Customer service', 'Lack of handicap access']",Train traffic,True,Negative,,,,online,2019-01-11,14:35:00,1,Friday,14,False
F,Everyday / Almost everyday,Walk,Work,40 - 60 min,Somewhat satisfied,A few times a week,5 - 10 min,Wait for next train,Only on weekends,"['Delays', 'Customer service', 'Lack of handicap access']",Train traffic,True,Other / No thoughts,,,,online,2019-01-11,14:35:00,1,Friday,14,False
1,Everyday / Almost everyday,Walk,Other,< 20 min,Somewhat satisfied,Rarely,5 - 10 min,Take a bus,,"['Station infrastructure', 'Old trains', 'Overcrowded trains']",Train traffic,True,Other / No thoughts,,,10025,online,2019-01-11,14:36:00,1,Friday,14,False
4,Everyday / Almost everyday,Walk,Work,20 - 40 min,Highly unsatisfied,Everyday,20 - 45 min,Use another train,All the time,"['Delays', 'High fares', 'Crime / Safety']",Train traffic,False,Positive,,,,online,2019-01-11,14:36:00,1,Friday,14,False
